"<2.Weeks.A.Year.Poor.Phys.Health","Not.Diagnosed.With.Diabetes","Not.Diagnosed.With.High.BP","Strava.Trips.Per.Person","%.College.Ed","Median.Income","%.Work.From.Home","%.Married.Couple.Family","%.Bike.To.Work","Bike.Path.Mileage"
89.3,91.5,71.4,11.381074168798,9.7612958226769,26609,0,15.1747655583973,1.10826939471441,5.34
87.9,90.9,71,3.57857857857858,2.97797797797798,26675,0.900900900900901,12.6376376376376,0.675675675675676,2.86
87.9,90.1,68,8.12057828360504,10.3045216856352,34096,1.3226699477084,12.1501076591818,0.522916025838204,5.28
89.2,91.9,72.2,3.82990706843143,12.0247817516193,34071,1.57702055758941,16.0236553083638,0.253449732469727,2.72
89,91.8,73.5,7.10209258084971,6.59480025364616,28686,0.190234622701332,16.9308814204185,1.83893468611287,4.48
90.4,92.2,73,8.98086684888715,7.2237407262788,34899,0.273330730183522,16.5560327996876,0.273330730183522,4.6
90.5,92.9,75.8,10.2172907998151,3.28247803975959,30021,0.739713361072584,18.9089227924179,1.10957004160888,4.42
94.3,97.8,89.6,30.3195105370496,7.13800135961931,22087,311.216859279402,26.1726716519375,16.043507817811,8.92
90.1,92.7,76.4,3.52585627938214,2.41773002014775,22843,0,11.517797179315,2.14909335124244,2.1
90.1,91.8,70.6,8.18514007308161,14.9817295980512,32125,3.60535931790499,18.6114494518879,1.19366626065773,6.72
90,92,73.3,8.43373493975904,3.21285140562249,25933,0.72289156626506,10.0803212851406,0.321285140562249,4.2
92.2,93.6,75.6,13.0934532733633,16.7416291854073,35342,0.0999500249875062,20.3398300849575,1.14942528735632,5.24
88.6,90,66.1,9.07975460122699,10.3476482617587,27466,2.86298568507157,15.4601226993865,0.32719836400818,4.44
92.1,92.6,69.6,14.2405063291139,25.1582278481013,47601,3.05907172995781,23.3122362869198,0.738396624472574,5.4
92.4,93.8,73.2,8.81897885507994,21.8153687467767,37917,3.94533264569366,20.8870551830841,2.73336771531717,6.84
91.3,96.2,83.9,13.2386180174362,9.84824023248305,6314,1.58217629964482,4.87568614788505,1.87278010978366,8.2
