census_tract,ct_population,ct_prct_white,ct_prct_black,ct_prct_asian,ct_prct_hispanic,ct_prct_age_5_9,ct_prct_age_10_14,ct_prct_age_15_19,ct_prct_age_20_24,ct_prct_age_25_34,ct_prct_age_35_44,ct_prct_age_45_54,ct_prct_age_55_59,ct_prct_age_60_64,ct_prct_age_65_74,ct_prct_age_75_84,ct_prct_age_85_plus,ct_median_inc,ct_prct_inc_less_than_10,ct_prct_inc_10_15,ct_prct_inc_15_25,ct_prct_inc_25_35,ct_prct_inc_35_50,ct_prct_inc_50_75,ct_prct_inc_75_100,ct_prct_inc_100_150,ct_prct_inc_150_200,ct_prct_inc_200_plus,ct_prct_less_than_9th,ct_prct_9th_12th,ct_prct_high_school,ct_prct_some_college,ct_prct_associates,ct_prct_bachelors,ct_prct_grad,ct_prct_high_school_plus,ct_prct_bachelors_plus,ct_prct_occupied,ct_prct_vacant,ct_prct_home_owner_vacancy,ct_prct_renter_vacancy,ct_prct_home_owner_occupied,ct_prct_renter_occupied
51001090100,2899,0.931010693,0.004139358,0.021386685,0.031735081,0.021731632,0.055536392,0.025526043,0.031390135,0.033459814,0.078992756,0.088651259,0.129699897,0.144877544,0.071058986,0.213521904,0.087271473,52848,0.112410656,0,0.137102014,0.076023392,0.133203379,0.191033138,0.117608837,0.087069526,0.086419753,0.059129305,0.014090344,0.113966017,0.294653958,0.17405719,0.126398674,0.116038127,0.16079569,0.871943639,0.276833817,0.346309631,0.653690369,0.058,0.095,0.736842105,0.263157895
51001090200,5771,0.68792237,0.285045919,0.022353145,0.05319702,0.07139144,0.043146768,0.013342575,0.036908681,0.050944377,0.098942991,0.102581875,0.139490556,0.054929822,0.100849073,0.156991856,0.085080575,40779,0.043079378,0.043877144,0.150777822,0.176705225,0.192261667,0.183087355,0.074990028,0.10331073,0.03191065,0,0.030711445,0.113787008,0.450287229,0.127485639,0.069818825,0.153115334,0.054794521,0.855501547,0.207909854,0.580324074,0.419675926,0.1,0,0.710011966,0.289988034
51001090300,2439,0.772857729,0.187371874,0.00902009,0.09102091,0.020500205,0.05699057,0.090610906,0.072570726,0.083640836,0.102091021,0.118491185,0.112341123,0.096350964,0.074210742,0.118081181,0.040180402,35833,0.104950495,0.045544554,0.123762376,0.215841584,0.126732673,0.114851485,0.102970297,0.052475248,0.104950495,0.007920792,0.063713592,0.127427184,0.447208738,0.199635922,0.080097087,0.052184466,0.02973301,0.808859223,0.081917476,0.785381026,0.214618974,0.017,0,0.676237624,0.323762376
51001090400,6603,0.582916856,0.392851734,0,0.231864304,0.103437831,0.07102832,0.071331213,0.058761169,0.059064062,0.152657883,0.120551265,0.087990307,0.068756626,0.04967439,0.077843405,0.055732243,43558,0.04789615,0.068487019,0.180393912,0.136974038,0.094001791,0.181736795,0.166517457,0.089525515,0.013876455,0.020590868,0.18776773,0.146596859,0.336268444,0.182532128,0.030223703,0.07710614,0.039504998,0.665635412,0.116611138,0.784410112,0.215589888,0.022,0.001,0.500447628,0.499552372
51001090500,2526,0.66429137,0.277909739,0.002375297,0.123119557,0.022565321,0.100554236,0.064133017,0.047505938,0.034837688,0.119556611,0.101741884,0.167062549,0.090657165,0.087490103,0.086302454,0.060174188,46154,0.106936416,0.039499037,0.172447013,0.075144509,0.147398844,0.185934489,0.081888247,0.158959538,0.030828516,9.63E-04,0.12303523,0.131165312,0.438482385,0.119783198,0.071544715,0.081842818,0.034146341,0.745799458,0.11598916,0.753265602,0.246734398,0.008,0.015,0.626204239,0.373795761
51001090600,3726,0.845410628,0.14331723,0.007246377,0.037305421,0.016908213,0.030327429,0.048040794,0.050993022,0.012345679,0.068169619,0.088566828,0.092055824,0.119431025,0.111379495,0.216049383,0.09178744,53060,0.035426731,0.105743425,0.129898014,0.068706388,0.11969941,0.207729469,0.09178744,0.130434783,0.041867955,0.068706388,0.021052632,0.09122807,0.292185008,0.179266348,0.096331738,0.16937799,0.150558214,0.887719298,0.319936204,0.726315789,0.273684211,0.01,0.067,0.790123457,0.209876543
51001090700,5280,0.592992424,0.367424242,0.003598485,0.034280303,0.057386364,0.063068182,0.111174242,0.065530303,0.039015152,0.099242424,0.123295455,0.129734848,0.071022727,0.070075758,0.1125,0.043371212,54643,0.03978389,0.037819253,0.074165029,0.185658153,0.140962672,0.171905697,0.234774067,0.063359528,0.021611002,0.029960707,0.020827389,0.110699001,0.357774608,0.201141227,0.114122682,0.07874465,0.116690442,0.868473609,0.195435093,0.782475019,0.217524981,0.015,0.02,0.631630648,0.368369352
51001090800,3429,0.559930009,0.421988918,0,0.042578011,0.073199183,0.065616798,0.044327792,0.046369204,0.119276757,0.096821231,0.065325168,0.116068825,0.081364829,0.080781569,0.124817731,0.044619423,42225,0.075970273,0.033856317,0.117258464,0.152766309,0.164327002,0.190751445,0.151940545,0.062758051,0.027250206,0.023121387,0.056426332,0.120465741,0.338110166,0.196148679,0.091804747,0.137035378,0.060008957,0.823107927,0.197044335,0.661748634,0.338251366,0.014,0.027,0.705202312,0.294797688
51003010100,5102,0.910819287,0.070364563,0.007056056,0.015680125,0.034496276,0.064876519,0.045668365,0.060564485,0.026068209,0.060564485,0.110936887,0.137593101,0.100352803,0.109564877,0.176401411,0.069776558,93031,0.013352408,0.036719123,0.064854554,0.07200763,0.08583691,0.146399619,0.110634239,0.155937053,0.129709108,0.184549356,0.031887755,0.042346939,0.192602041,0.184693878,0.072959184,0.266326531,0.209183673,0.925765306,0.475510204,0.916520979,0.083479021,0,0,0.821649976,0.178350024
51003010201,4807,0.900353651,0.044934471,0.024131475,0.058872478,0.04888704,0.04555856,0.089452881,0.076763054,0.040565841,0.062408987,0.14312461,0.175993343,0.084460162,0.053463699,0.115040566,0.053047639,83281,0.015143321,0.005949162,0.058409951,0.019469984,0.138453218,0.197944835,0.184424013,0.204975663,0.083288264,0.09194159,0.010419768,0.041679071,0.186662697,0.187853528,0.069365883,0.265257517,0.238761536,0.947901161,0.504019053,0.926817043,0.073182957,0.013,0,0.902650081,0.097349919
