screen_name,created_at,census_tract,text,lat,lon,radius
BargainTireVA,1/18/22 21:26,51710003501,your car is a big investment  well make sure it stays in great shape httpstco3a7ge6s7ny,36.8615885,-76.27658704,5mi
Ravenpenny,1/18/22 21:26,51710003501,fucking weirdness follows me wherever i go even to new therapist sigh,36.8615885,-76.27658704,5mi
ren_rum,1/18/22 21:26,51710003501,logistically the wwwy festival seems implausible i think this is the best lineup ever announced in my lifetime but i dont know something feels off thats a lot of money  its probably gonna sell out friday but more info wont come till fall,36.8615885,-76.27658704,5mi
KevBarnbrook,1/18/22 21:26,51710003501,ipswichtown oh noooo how awful,36.8615885,-76.27658704,5mi
KevBarnbrook,1/18/22 21:23,51710003501,danlukecable a work of art iangabelli ,36.8615885,-76.27658704,5mi
KevBarnbrook,1/18/22 21:22,51710003501,ashleysymonds nearly as good as the first teams performances on the pitch,36.8615885,-76.27658704,5mi
SSGClo,1/18/22 21:25,51710003501,i be walking around this campus like an extended music video,36.8615885,-76.27658704,5mi
SSGClo,1/18/22 21:21,51710003501,i love the webb center when yall got 3 separate emulators running on one tv,36.8615885,-76.27658704,5mi
SSGClo,1/18/22 21:24,51710003501,keemairy lmaooo deadass ,36.8615885,-76.27658704,5mi
JanisDauer,1/18/22 21:25,51710003501,orlandoribbons scubagirlsocial really good news thanks hoping he keeps feeling better and better every day  let him know were thinking about him ,36.8615885,-76.27658704,5mi
AonghaisC,1/18/22 21:25,51710003501,wilsonjaredm adriawildlife accurate,36.8615885,-76.27658704,5mi
cuntent,1/18/22 21:25,51710003501,i need a hug,36.8615885,-76.27658704,5mi
PamWrig15287883,1/18/22 21:25,51710003501,so sorry about her passing but you were very fortunate to have such a wonderful mom httpstcoqmzohtyuye,36.8615885,-76.27658704,5mi
1_Dolo757,1/18/22 21:23,51710003501,bitchilookgud realness ,36.8615885,-76.27658704,5mi
1_Dolo757,1/18/22 21:25,51710003501,ima be in something plowing snow come friday ,36.8615885,-76.27658704,5mi
naeeACEmoney,1/18/22 21:25,51710003501,i am starving,36.8615885,-76.27658704,5mi
naeeACEmoney,1/18/22 21:23,51710003501,i love it when my hair stylist tells me my hair is getting long ,36.8615885,-76.27658704,5mi
lavidadeoscar,1/18/22 21:25,51710003501,higerardoflores joserivas20 aint no other tournament since that can compare to that world cup man,36.8615885,-76.27658704,5mi
lavidadeoscar,1/18/22 21:22,51710003501,joserivas20 higerardoflores tragic to some defining for others httpstconcqdhlgzy9,36.8615885,-76.27658704,5mi
