word,sentiment,lexicon
abandon,-2,afinn
abandoned,-2,afinn
abandons,-2,afinn
abducted,-2,afinn
abduction,-2,afinn
abductions,-2,afinn
abhor,-3,afinn
abhorred,-3,afinn
abhorrent,-3,afinn
abhors,-3,afinn
abilities,2,afinn
ability,2,afinn
aboard,1,afinn
absentee,-1,afinn
absentees,-1,afinn
absolve,2,afinn
absolved,2,afinn
absolves,2,afinn
absolving,2,afinn
absorbed,1,afinn
abuse,-3,afinn
abused,-3,afinn
abuses,-3,afinn
abusive,-3,afinn
accept,1,afinn
accepted,1,afinn
accepting,1,afinn
accepts,1,afinn
accident,-2,afinn
accidental,-2,afinn
accidentally,-2,afinn
accidents,-2,afinn
accomplish,2,afinn
accomplished,2,afinn
accomplishes,2,afinn
accusation,-2,afinn
accusations,-2,afinn
accuse,-2,afinn
accused,-2,afinn
accuses,-2,afinn
accusing,-2,afinn
ache,-2,afinn
achievable,1,afinn
aching,-2,afinn
acquit,2,afinn
acquits,2,afinn
acquitted,2,afinn
acquitting,2,afinn
acrimonious,-3,afinn
active,1,afinn
adequate,1,afinn
admire,3,afinn
admired,3,afinn
admires,3,afinn
admiring,3,afinn
admit,-1,afinn
admits,-1,afinn
admitted,-1,afinn
admonish,-2,afinn
admonished,-2,afinn
adopt,1,afinn
adopts,1,afinn
adorable,3,afinn
adore,3,afinn
adored,3,afinn
adores,3,afinn
advanced,1,afinn
advantage,2,afinn
advantages,2,afinn
adventure,2,afinn
adventures,2,afinn
adventurous,2,afinn
affected,-1,afinn
affection,3,afinn
affectionate,3,afinn
afflicted,-1,afinn
affronted,-1,afinn
afraid,-2,afinn
aggravate,-2,afinn
aggravated,-2,afinn
aggravates,-2,afinn
aggravating,-2,afinn
aggression,-2,afinn
aggressions,-2,afinn
aggressive,-2,afinn
aghast,-2,afinn
agog,2,afinn
agonise,-3,afinn
agonised,-3,afinn
agonises,-3,afinn
agonising,-3,afinn
agonize,-3,afinn
agonized,-3,afinn
agonizes,-3,afinn
agonizing,-3,afinn
agree,1,afinn
agreeable,2,afinn
agreed,1,afinn
agreement,1,afinn
agrees,1,afinn
alarm,-2,afinn
alarmed,-2,afinn
alarmist,-2,afinn
alarmists,-2,afinn
alas,-1,afinn
alert,-1,afinn
alienation,-2,afinn
alive,1,afinn
allergic,-2,afinn
allow,1,afinn
alone,-2,afinn
amaze,2,afinn
amazed,2,afinn
amazes,2,afinn
amazing,4,afinn
ambitious,2,afinn
ambivalent,-1,afinn
amuse,3,afinn
amused,3,afinn
amusement,3,afinn
amusements,3,afinn
anger,-3,afinn
angers,-3,afinn
angry,-3,afinn
anguish,-3,afinn
anguished,-3,afinn
animosity,-2,afinn
annoy,-2,afinn
annoyance,-2,afinn
annoyed,-2,afinn
annoying,-2,afinn
annoys,-2,afinn
antagonistic,-2,afinn
anti,-1,afinn
anticipation,1,afinn
anxiety,-2,afinn
anxious,-2,afinn
apathetic,-3,afinn
apathy,-3,afinn
apeshit,-3,afinn
apocalyptic,-2,afinn
apologise,-1,afinn
apologised,-1,afinn
apologises,-1,afinn
apologising,-1,afinn
apologize,-1,afinn
apologized,-1,afinn
apologizes,-1,afinn
apologizing,-1,afinn
apology,-1,afinn
appalled,-2,afinn
appalling,-2,afinn
appease,2,afinn
appeased,2,afinn
appeases,2,afinn
appeasing,2,afinn
applaud,2,afinn
applauded,2,afinn
applauding,2,afinn
applauds,2,afinn
applause,2,afinn
appreciate,2,afinn
appreciated,2,afinn
appreciates,2,afinn
appreciating,2,afinn
appreciation,2,afinn
apprehensive,-2,afinn
approval,2,afinn
approved,2,afinn
approves,2,afinn
ardent,1,afinn
arrest,-2,afinn
arrested,-3,afinn
arrests,-2,afinn
arrogant,-2,afinn
ashame,-2,afinn
ashamed,-2,afinn
ass,-4,afinn
assassination,-3,afinn
assassinations,-3,afinn
asset,2,afinn
assets,2,afinn
assfucking,-4,afinn
asshole,-4,afinn
