word,sentiment,lexicon
above,1,he
accomplish,1,he
accomplished,1,he
accomplishes,1,he
accomplishing,1,he
accomplishment,1,he
accomplishments,1,he
achieve,1,he
achieved,1,he
achievement,1,he
achievements,1,he
achieves,1,he
achieving,1,he
beat,1,he
beating,1,he
beats,1,he
best,1,he
better,1,he
certain,1,he
certainty,1,he
definite,1,he
deliver,1,he
delivered,1,he
delivering,1,he
delivers,1,he
encouraged,1,he
enjoy,1,he
enjoyed,1,he
enjoying,1,he
enjoys,1,he
exceed,1,he
exceeded,1,he
exceeding,1,he
exceeds,1,he
excellent,1,he
expand,1,he
expanded,1,he
expanding,1,he
expands,1,he
expansion,1,he
good,1,he
greater,1,he
greatest,1,he
grew,1,he
grow,1,he
growing,1,he
grown,1,he
grows,1,he
growth,1,he
improves,1,he
improving,1,he
increase,1,he
increased,1,he
increases,1,he
increasing,1,he
larger,1,he
largest,1,he
leader,1,he
leading,1,he
more,1,he
most,1,he
encouraging,1,he
opportunities,1,he
opportunity,1,he
high,1,he
higher,1,he
highest,1,he
improve,1,he
improved,1,he
improvement,1,he
improvements,1,he
pleased,1,he
positive,1,he
positives,1,he
progress,1,he
progressing,1,he
record,1,he
reward,1,he
rewarded,1,he
rewarding,1,he
rewards,1,he
rise,1,he
risen,1,he
rises,1,he
rising,1,he
rose,1,he
solid,1,he
strength,1,he
strengthen,1,he
strengthened,1,he
strengthening,1,he
strengthens,1,he
strengths,1,he
strong,1,he
stronger,1,he
strongest,1,he
succeed,1,he
succeeded,1,he
succeeding,1,he
succeeds,1,he
success,1,he
successes,1,he
successful,1,he
below,-1,he
challenge,-1,he
challenged,-1,he
challenges,-1,he
challenging,-1,he
decline,-1,he
declined,-1,he
declines,-1,he
declining,-1,he
decrease,-1,he
decreased,-1,he
decreases,-1,he
decreasing,-1,he
depressed,-1,he
deteriorate,-1,he
deteriorated,-1,he
deteriorates,-1,he
deteriorating,-1,he
difficult,-1,he
difficulty,-1,he
disappoint,-1,he
disappointed,-1,he
disappointing,-1,he
disappointment,-1,he
disappoints,-1,he
down,-1,he
downturn,-1,he
drop,-1,he
dropped,-1,he
dropping,-1,he
drops,-1,he
fail,-1,he
failing,-1,he
fails,-1,he
failure,-1,he
fall,-1,he
fallen,-1,he
falling,-1,he
falls,-1,he
fell,-1,he
hurdle,-1,he
hurdles,-1,he
least,-1,he
less,-1,he
low,-1,he
lower,-1,he
lowest,-1,he
negative,-1,he
negatives,-1,he
obstacle,-1,he
obstacles,-1,he
penalties,-1,he
penalty,-1,he
risk,-1,he
risks,-1,he
risky,-1,he
shrink,-1,he
shrinking,-1,he
shrinks,-1,he
shrunk,-1,he
slump,-1,he
slumped,-1,he
slumping,-1,he
unsettled,-1,he
weak,-1,he
weaken,-1,he
weakened,-1,he
weakening,-1,he
weakens,-1,he
weakness,-1,he
weaknesses,-1,he
worse,-1,he
worsen,-1,he
worsening,-1,he
worsens,-1,he
worst,-1,he
bother,-1,michael_safaee
pain,-1,michael_safaee
unable,-1,michael_safaee
terrible,-1,michael_safaee
can’t,-1,michael_safaee
cannot,-1,michael_safaee
hard,-1,michael_safaee
medication,-1,michael_safaee
dependent,-1,michael_safaee
reliant,-1,michael_safaee
rely,-1,michael_safaee
oxycodone,-1,michael_safaee
norco,-1,michael_safaee
narcotic,-1,michael_safaee
methadone,-1,michael_safaee
bad,-1,michael_safaee
burden,-1,michael_safaee
burdened,-1,michael_safaee
bothersome,-1,michael_safaee
slow,-1,michael_safaee
slower,-1,michael_safaee
disabled,-1,michael_safaee
disability,-1,michael_safaee
painful,-1,michael_safaee
disable,-1,michael_safaee
disabling,-1,michael_safaee
cant,-1,michael_safaee
tired,-1,michael_safaee
injury,-1,michael_safaee
paralysis,-1,michael_safaee
paralyzed,-1,michael_safaee
unlucky,-1,michael_safaee
pessimistic,-1,michael_safaee
fine,1,michael_safaee
minor,1,michael_safaee
supportive,1,michael_safaee
independence,1,michael_safaee
independent,1,michael_safaee
straight,1,michael_safaee
work,1,michael_safaee
trust,1,michael_safaee
none,1,michael_safaee
lucky,1,michael_safaee
optimistic,1,michael_safaee
