"","ID","screen_name","all_words","all_afinn_values","afinn_score","custom_sentiment"
"1",1,"sports___alerts","top, interested, free","2, 2, 1",1.67,0
"2",2,"GoldenBallSocce","proud, free, allow","2, 1, 1",1.33,0
"3",3,"sassymatt666","natural","1",1,0
"4",4,"faw64","bothers, good, love, lol, want, lol, embarrassed, tears, dump, stop, crying, agree, no, no, chance, agree, agree, lol, fine, matter, wins, love","-2, 3, 3, 3, 1, 3, -2, -2, -1, -1, -2, 1, -1, -1, 2, 1, 1, 3, 2, 1, 4, 3",0.86,0.43
"5",5,"EJL1984","lol, love, great, great, cool","3, 3, 3, 3, 1",2.6,0
"6",6,"NonStopPop","like, missed, beautiful, yeah","2, -2, 3, 1",1,0
"7",7,"DatKidUgly","ashamed, wtf","-2, -4",-3,0
"8",8,"theoriginalBwag","love, frantic, funny","3, -1, 4",2,0
"9",9,"GunGal5213","like","2",2,0
"10",10,"profrichmond","love, likes, yeah, natural, super, good, likes, horrible, no, worried","3, 2, 1, 1, 3, 3, 2, -3, -1, -3",0.8,0.32
"11",11,"LD__30","yeah, no, sympathy, lol, lmao, no, weak, shit, motherfucking","1, -1, 2, 3, 4, -1, -2, -4, -5",-0.33,-0.33
"12",12,"AceKoopa400","damn, niggas, like, want, no, no, lol, worst, worst, lmao, leave, niggas, useless, better, like","-4, -5, 2, 1, -1, -1, 3, -3, -3, 4, -1, -5, -2, 2, 2",-0.73,-0.26
"13",13,"imtryingjpeg","favorites","2",2,0
"14",14,"Blocka2x1","hell","-4",-4,0
"15",15,"_Track4lyfe_100","insane","-2",-2,0
"16",16,"CiaraWi93583529","excited, chance, better, good, hopefully, feeling, yes, loving","3, 2, 2, 3, 2, 1, 1, 2",2,0.71
"17",17,"brandy_scrim","like, cutting, like, excited, excited","2, -1, 2, 3, 3",1.8,0
"18",18,"good_elo","confident, proud","2, 2",2,0
"19",19,"DailyPowrRangrs","nice, thanks, pretty, awful, like, moron, allow, drop, perfect, allow, dick, lol, no, damn, agreed, allow, fuck, cool, fan, greedy, like, like, shame, rich, want, successful, important, success, praised, wish, fair, alone, bad, love, like, cool, awful, no, hero, hero, yeah, want, yeah, care, good, like, god, damn, like, like, yeah, true, lol, loved, thanks, fuck","3, 2, 1, -3, 2, -3, 1, -1, 3, 1, -4, 3, -1, -4, 1, 1, -4, 1, 3, -2, 2, 2, -2, 2, 1, 3, 2, 2, 3, 1, 2, -2, -3, 3, 2, 1, -3, -1, 2, 2, 1, 1, 1, 2, 3, 2, 1, -4, 2, 2, 1, 2, 3, 3, 2, -4",0.66,0.13
"20",20,"Wavvy_Gz","calm, bitch, hope, pay, bullshit, damn, shit, lack, good, happy, like, like, lost, shit, shit","2, -5, 2, -1, -4, -4, -4, -2, 3, 3, 2, 2, -3, -4, -4",-1.13,0.26
"21",21,"JF3ars","mindless, yes, yes, winning, super","-2, 1, 1, 4, 3",1.4,0
"22",22,"bandupcope","niggas, crazy","-5, -2",-3.5,0
"23",23,"cheesetownradio","big, dirty, dirty, clean, masterpiece, clean, rich, clean, true, clean, love, clean, clean, please, dirty, clean, clean, love, clean, like, clean, sexy, clean, cry, nasty, clean, trap, dirty, clean, alone, dirty, thank, clean, clean, dirty, clean, clean, dirty, clean, bad, clean, yummy, want, dirty, dirty, love, love, better, clean, dirty, dirty, glory, clean, clean, sunshine, clean, dirty, crazy, clean, clean, clean","1, -2, -2, 2, 4, 2, 2, 2, 2, 2, 3, 2, 2, 1, -2, 2, 2, 3, 2, 2, 2, 3, 2, -1, -3, 2, -1, -2, 2, -2, -2, 2, 2, 2, -2, 2, 2, -2, 2, -3, 2, 3, 1, -2, -2, 3, 3, 2, 2, -2, -2, 2, 2, 2, 2, 2, -2, -2, 2, 2, 2",0.9,0
"24",24,"roderickgraham","important, glad, yes, good, amazed, important, important, fit, problems, good, fear, mongering, death, fine, racist, good, like, difficult, like, insane, want, attraction, wrong, want, want, smart, confident, racism, enjoy, no, racist, hate, upset, safe, racist, inferior, racist, good, hurt, big","2, 3, 1, 3, 2, 2, 2, 1, -2, 3, -2, -2, -2, 2, -3, 3, 2, -1, 2, -2, 1, 2, -2, 1, 1, 1, 2, -3, 2, -1, -3, -3, -2, 1, -3, -2, -3, 3, -2, 1",0.12,0.79
"25",25,"ZeroLux34","hard","-1",-1,-1
"26",26,"neButterfly","smarter, best","2, 3",2.5,0.71
"27",27,"TugDis","fair, award, winning, stopped","2, 3, 4, -1",2,0
"28",28,"CharlesFStanton","nice, support, support, like","3, 2, 2, 2",2.25,0
"29",29,"Drileymack","amazing, please, great, like, threatened, killing, please, blame, save, good, luck, wow, faith, miserable, wow, kills","4, 1, 3, 2, -2, -3, 1, -2, 2, 3, 3, 4, 1, -3, 4, -3",0.94,0.25
"30",30,"micahmyers","love","3",3,0
"31",31,"MichelleWolfTV","proud","2",2,0
"32",32,"EdwardCrain12","cock, nice","-5, 3",-1,0
"33",33,"ShreddaSosa","nuts","-3",-3,0
"34",34,"YoungRose4L","want","1",1,0
"35",35,"BrianOHemphill","great, stops","3, -1",1,0
"36",36,"Lexboogie758_","weird, honest, bad, immune, hate, best, trauma, stop","-2, 2, -3, 1, -3, 3, -3, -1",-0.75,0
"37",37,"1amqueentiffany","like, mad, mad, like, mad, good, loved","2, -3, -3, 2, -3, 3, 3",0.14,0.38
"38",38,"dillon_atc_emt","crap","-3",-3,0
"39",39,"musicnerdzradio","die, love, love, optimistic, stop, leave, love, clean, super, clean, love, clean, love, heaven, fresh, top, good, love, clean, ill, pretty, love, love, love, fire, clean, lonely, love, perfect, clean","-3, 3, 3, 2, -1, -1, 3, 2, 3, 2, 3, 2, 3, 2, 1, 2, 3, 3, 2, -2, 1, 3, 3, 3, -2, 2, -2, 3, 3, 2",1.6,0.37
"40",40,"capturedbyscoti","wow","4",4,0
"41",41,"AGuyNamed_Drew","sorry, hurt, wrong, fucked, gun, fucking, starving, shit","-1, -2, -2, -4, -1, -4, -2, -4",-2.5,0
"42",42,"Cosi_DopeXD","shit, lol, damn","-4, 3, -4",-1.67,0
"43",43,"matyofc","sad","-2",-2,0
"44",44,"_shaaaay___","darkest, like, matter, like, lol","-2, 2, 1, 2, 3",1.2,0
"45",45,"PlummerCollin","winning","4",4,0
