"","ID","screen_name","all_words","all_afinn_values","afinn_score","custom_score"
"1",1,"BIG_Bri97","winning, glad","4, 3",3.5,0
"2",2,"keithparnell","bad, no, hates","-3, -1, -3",-2.33,-0.58
"3",3,"TheBlackNerd","funny, like, sparkling, weird, weird, idiot, complain, good, complain, cheered, terrible, craziest, joke, smarter, love, stop, stupid, joke, stuck, stop, funny, no, no, yes, win, glad, fear, crying, favorite, sparkling, complain, jealous, good, no, die, like, sorry, fun","4, 2, 3, -2, -2, -3, -2, 3, -2, 2, -3, -2, 2, 2, 3, -1, -2, 2, -2, -1, 4, -1, -1, 1, 4, 3, -2, -2, 2, 3, -2, -2, 3, -1, -3, 2, -1, 4",0.32,0.16
"4",4,"musicnerdzradio","ill, no, love, love, love, fresh, top, good, love, super, clean, leave, love, love, love, pretty, clean, love, stop, die, clean, heaven, optimistic, love, clean, fire, perfect, lonely, clean, love, clean, love","-2, -1, 3, 3, 3, 1, 2, 3, 3, 3, 2, -1, 3, 3, 3, 1, 2, 3, -1, -3, 2, 2, 2, 3, 2, -2, 3, -2, 2, 3, 2, 3",1.56,0.35
"5",5,"EJL1984","love, great, great, cool, lol, unaware, win","3, 3, 3, 1, 3, -2, 4",2.14,0
"6",6,"ohitstarik","perfect, wish, blocked, fuck, steal, wtf, cry","3, 1, -1, -4, -2, -4, -1",-1.14,0
"7",7,"therealslimthi","love","3",3,0
"8",8,"saltyzamora","miss, want, shit, like, fuck","-2, 1, -4, 2, -4",-1.4,0
"9",9,"QuliaQui","no, block, stop","-1, -1, -1",-1,0
"10",10,"chayeezy","confused","-2",-2,0
"11",11,"faw64","agree, no, no, chance, matter, wins, agree, love, lol, want, lol, agree, lol, love, fine, dump, leave, bothers, good, embarrassed, tears, dump, stop, crying","1, -1, -1, 2, 1, 4, 1, 3, 3, 1, 3, 1, 3, 3, 2, -1, -1, -2, 3, -2, -2, -1, -1, -2",0.71,0.41
"12",12,"camriendm","questioning, crazy, love","-1, -2, 3",0,0
"13",13,"rparris83","stopped","-1",-1,0
"14",14,"cheesetownradio","clean, clean, clean, nasty, clean, dirty, love, dirty, bad, clean, trap, dirty, big, dirty, clean, clean, clean, dirty, dirty, love, clean, clean, sexy, clean, clean, dirty, thank, clean, true, clean, masterpiece, clean, alone, dirty, dirty, clean, want, dirty, clean, like, clean, clean, cry, clean, please, dirty, yummy, clean, clean, crazy, clean, sunshine, clean, dirty, glory, clean, love, love, better, rich","2, 2, 2, -3, 2, -2, 3, -2, -3, 2, -1, -2, 1, -2, 2, 2, 2, -2, -2, 3, 2, 2, 3, 2, 2, -2, 2, 2, 2, 2, 4, 2, -2, -2, -2, 2, 1, -2, 2, 2, 2, 2, -1, 2, 1, -2, 3, 2, 2, -2, 2, 2, 2, -2, 2, 2, 3, 3, 2, 2",0.88,0
"15",15,"TheLifeOfPxblo","hate","-3",-3,0
"16",16,"reign_supremee","drop, fire, childish","-1, -2, -2",-1.67,-0.58
"17",17,"lynnboo19826211","glad, welcome, support, ass, please, damnit, glad, blocked, love, glad, thank, privileged, fuck, privileged, wtf","3, 2, 2, -4, 1, -4, 3, -1, 3, 3, 2, 2, -4, 2, -4",0.4,0
"18",18,"brejastew","like, no, chance, please, good, lol, better, missing, fake, abusive, like","2, -1, 2, 1, 3, 3, 2, -2, -3, -3, 2",0.55,0.6
"19",19,"qtquin_","sick","-2",-2,0
"20",20,"datboigreen","like, dread, love, struggling, yeah, wasting, piss, poor, ass, shit","2, -2, 3, -2, 1, -2, -4, -2, -4, -4",-1.4,0
"21",21,"sherriparsons","yes, blame, crime, poor, crime, committed, racist","1, -2, -3, -2, -3, 1, -3",-1.57,0
"22",22,"sserb","thanks, enjoying","2, 2",2,0.71
"23",23,"CiaraWi93583529","better, hopefully, feeling, excited, yes, loving, chance, good","2, 2, 1, 3, 1, 2, 2, 3",2,0.71
"24",24,"harryphood","favorite, like","2, 2",2,0
"25",25,"vintagejoehill","ruining, evil, resign","-2, -3, -1",-2,0
"26",26,"jhermann","hope, die, like, favor, bullshit, pretty, good, complain, no, top, top, shoot","2, -3, 2, 2, -4, 1, 3, -2, -1, 2, 2, -1",0.25,0.29
"27",27,"DISDEADD","shit","-4",-4,0
"28",28,"WODUplaylist","clean, dead, clean, big, struggle, big, clean, love, good, hard, clean, dream, matter","2, -3, 2, 1, -2, 1, 2, 3, 3, -1, 2, 1, 1",0.92,0
"29",29,"GunGal5213","like","2",2,0
"30",30,"DrNoelleGabriel","wow","4",4,0
"31",31,"nywalk_","no, thanks, ass","-1, 2, -4",-1,0
"32",32,"Highflyer757A","like, fire, fuck, laugh","2, -2, -4, 1",-0.75,0
"33",33,"herbanlegend_1","like","2",2,0
"34",34,"pomijo1992","share, love, better, hard, controversial, sunshine, like, win, win, win, leave, alone, success, mad, cries, no, no, no, no, sunshine, hurt, rich, sad, fine, hell","1, 3, 2, -1, -2, 2, 2, 4, 4, 4, -1, -2, 2, -3, -2, -1, -1, -1, -1, 2, -2, 2, -2, 2, -4",0.28,0.4
"35",35,"Alaysa__","hell, yes, lmao","-4, 1, 4",0.33,0
"36",36,"Leonard_D5","happy, want, losing, damn, damn, hope, unprofessional, like, lmfao","3, 1, -3, -4, -4, 2, -2, 2, 4",-0.11,0
"37",37,"ashtown47","like, warning, misleading","2, -3, -3",-1.33,0
"38",38,"Dogsandsailors1","great","3",3,0
"39",39,"jonrobinson07","please","1",1,0
"40",40,"bandupcope","niggas, crazy","-5, -2",-3.5,0
"41",41,"virginianpilot","innovation, focused, leak, great, forced, no, fine, promoted, top, cancel, effectively, misinformation, mandatory, fun, hurt, stop","1, 2, -1, 3, -1, -1, 2, 1, 2, -1, 2, -2, -1, 4, -2, -1",0.44,0.25
"42",42,"matyofc","trauma, big, sad","-3, 1, -2",-1.33,0
"43",43,"tdowdy11","confidence, depressing, struggle, hopefully, good, delay, nice, win, competitive, losing, want, win, yes, bad","2, -2, -2, 2, 3, -1, 3, 4, 2, -3, 1, 4, 1, -3",0.79,0
