"","ID","screen_name","created_at","census_tract","text","lat","lon","radius","all_afinn_lexicon_words","all_afinn_lexicon_values","all_polarity_lexicon_words","all_polarity_lexicon_values","afinn_lexicon_scores","polarity_lexicon_scores"
"1",1,"Dave_Cool_Yay",2021-10-11 23:49:06,51710005100,"radioactivescp heyscoops im confused by the application of this gif but i like it",36.830177,-76.2613,"5mi","confused, like","-2, 2",NA,NA,0,NA
"2",2,"13NewsNow",2021-10-11 23:49:05,51710005100,"couple accused of trying to sell navy submarine secrets httpstcojo6xuwibd8",36.830177,-76.2613,"5mi","accused","-2",NA,NA,-2,NA
"3",3,"courtneyalch",2021-10-11 23:48:35,51710005100,"yall rude as hell on here lmaoooo",36.830177,-76.2613,"5mi","hell","-4",NA,NA,-4,NA
"4",4,"Dtheep",2021-10-11 23:48:31,51710005100,"switch friend codes",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"5",5,"peirson_jack",2021-10-11 23:48:27,51710005100,"i am digging the look of the house happy halloween early october 31st is the high holy day for gays httpstcojv7v0nwcxd",36.830177,-76.2613,"5mi","happy","3","high","1",3,1
"6",6,"kushcobain187",2021-10-11 23:48:26,51710005100,"jazz amp monday night laundry",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"7",7,"OVARTist",2021-10-11 23:41:10,51710005100,"new artwork for sale  star the mermaid  httpstcoax2csqt8fu fineartamerica httpstcoooqnztpisa",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"8",8,"subschneider",2021-10-11 23:48:18,51710005100,"want people to get the vaccine tell them they cannot it is very effective freedomflu httpstcouao6dih4gb",36.830177,-76.2613,"5mi","want, effective","1, 2","cannot","-1",1.5,-1
"9",9,"BlaineStewart",2021-10-11 23:48:17,51710005100,"new details released in death of hampton roads realtor killed in murdersuicide httpstcoxxaxq7zj40",36.830177,-76.2613,"5mi","death, killed","-2, -3",NA,NA,-2.5,NA
"10",10,"BasedMethod",2021-10-11 23:48:16,51710005100,"non sense mfs found phrase poc dont even use it right smh httpstco2cwyfbaz3e",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"11",11,"kidcostea",2021-10-11 23:48:09,51710005100,"itsmeshanxo my wifey type",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"12",12,"KevinMontanaa",2021-10-11 23:37:57,51710005100,"whenever shawty take a trip amp she dont post who she with dont trust it fellas women dont go dolo amp them friends gone get posted",36.830177,-76.2613,"5mi","trust","1","trust","1",1,1
"13",13,"ZingherPolisci",2021-10-11 23:48:06,51710005100,"chrispolpsych shor nate silver et al are an illustration of why theory is essential in the social sciences their approach is basically data mining with no concern about how or why the pieces fit together",36.830177,-76.2613,"5mi","no, fit","-1, 1",NA,NA,0,NA
"14",14,"reese_amber_sps",2021-10-11 23:47:53,51710005100,"great job mr jones kfmsjaguars757 buildingthebestsps httpstcolke970qlu6",36.830177,-76.2613,"5mi","great","3",NA,NA,3,NA
"15",15,"roderickgraham",2021-10-11 23:34:25,51710005100,"fakechuck johnpike15 brandonlbradfor katjathieme cathryntownsend lingtolls i am having a hard time with the assumption that there is not variation in sexual opportunities  frequency and quality",36.830177,-76.2613,"5mi","hard, opportunities","-1, 2","hard, opportunities","-1, 1",0.5,0
"16",16,"DrLectersMask",2021-10-11 23:47:51,51710005100,"missbigz plus midboot and the conquest",36.830177,-76.2613,"5mi",NA,NA,NA,NA,NA,NA
"17",17,"Vincent98757489",2021-10-11 23:47:32,51710005100,"pffsam that deserves a 15 yard penalty but its well worth it",36.830177,-76.2613,"5mi","penalty, worth","-2, 2","penalty","-1",0,-1
