"","screen_name","ID","all_afinn_words","all_afinn_values","all_custom_words","all_custom_values","afinn_score","custom_score"
"1","___Quila",217,"hate, certain, want","-3, 1, 1","certain","1",-0.33,0
"2","__tvhirv",488,"feeling, bitch, hate, bad, fucked, ass, positive, bad, nerves","1, -5, -3, -3, -4, -4, 2, -3, -1","bad, positive, bad","-1, 1, -1",-2.22,-0.33
"3","_BabyFaceDon",354,"damn, want, good, thank, god, clear","-4, 1, 3, 2, 1, 1","good","1",0.67,0.41
"4","_diaawiaa",429,"shit, hate, shit","-4, -3, -4","high","1",-3.67,0
"5","_DOLOKEE",24,"help, win, good, want","2, 4, 3, 1","good","1",2.5,0.5
"6","_Frankelstein_",355,"excited, good","3, 3","good","1",3,0.71
"7","_MomToAPrincess",786,"best, killed, hurts, badly, lost, thankful, miss","3, -3, -2, -3, -3, 2, -2","best, more","1, 1",-1.14,0.38
"8","_shaaaay___",372,"like, damn, feeling, sick, want, ass, like, swear, sick, niggas, want","2, -4, 1, -2, 1, -4, 2, -2, -2, -5, 1","cant, high","-1, 1",-1.09,0
"9","_skvnny",533,"focused, shit, embarrassing, shit, wtf, fucking, worst, good, no, thanks, regret, good, hate, fucking, lonely, cry, bad, ugly, ugly, nice, love, like, bad, certain, shit, uncomfortable, ass","2, -4, -2, -4, -4, -4, -3, 3, -1, 2, -2, 3, -3, -4, -2, -1, -3, -3, -3, 3, 3, 2, -3, 1, -4, -2, -4","worst, good, more, fall, good, bad, bad, certain","-1, 1, 1, -1, 1, -1, -1, 1",-1.37,-0.19
"10","_WeLuvJAS",155,"straight, cry, axe, like","1, -1, -1, 2","straight","1",0.25,0.5
"11","13DanKennedy",302,"accused, murder, acquitted, charged, prison, charges, murder, murder, charges","-2, -2, 2, -3, -2, -2, -2, -2, -2","most, more, more","1, 1, 1",-1.67,0
"12","13JeffLawson",15,"chances","2","less, higher","-1, 1",2,0
"13","13MikeGooding",132,"hero, kind","2, 2","largest, more","1, 1",2,0
"14","13NewsNow",71,"arrests, murder, mandatory, help, poor, immune","-2, -2, -1, 2, -2, 1","more, down, weakened","1, -1, -1",-0.67,0
"15","1cxb_",249,"shit, fine, death","-4, 2, -2","fine","1",-1.33,0.58
