1,PNellytime,2021-10-13T21:14:07Z,51710005100,boney757montana elevatedhoney  aite my badi hate ultra slim 100s kewchie,36.830177,-76.2613,5mi,hate,-3,NA,NA,-3,NA
2,Cannydc1,2021-10-13T21:14:05Z,51710005100,how great grandfather lived httpstconqi1zimvim,36.830177,-76.2613,5mi,great,3,NA,NA,3,NA
3,Smparkerstone,2021-10-13T21:14:04Z,51710005100,aghbennett i wish i could come there wed have a grand time,36.830177,-76.2613,5mi,"wish, grand","1, 3",NA,NA,2,NA
4,1_Dolo757,2021-10-13T21:13:59Z,51710005100,told my parents the play its in they court ,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
5,DailyPowrRangrs,2021-10-13T21:06:49Z,51710005100,saintwalker98 djnebulous oh hi darcy  nice seeing you here  httpstcod39d59m3c2,36.830177,-76.2613,5mi,nice,3,NA,NA,3,NA
6,roderickgraham,2021-10-13T21:13:48Z,51710005100,eyeveaux who licked the red of your candy,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
7,PhyllisBrother1,2021-10-13T21:13:32Z,51710005100,troubleshade seems like theyre working hard to get the sussexes back before the jubilee is william worried that the rota will turn on him amp kate if they dont get access to hampm and the kids httpstcohw9w7pdan4,36.830177,-76.2613,5mi,"like, hard, worried","2, -1, -3",hard,-1,-0.67,-1
8,BahamaPapa_,2021-10-13T21:10:22Z,51710005100,raising canes doesnt give what yall say its pose ta give,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
9,TheBlackNerd,2021-10-13T21:05:37Z,51710005100,yelix im usually pretty mehtotentatively excited for marvel movies but this one just looks like nothing,36.830177,-76.2613,5mi,"pretty, excited, marvel, like","1, 3, 3, 2",NA,NA,2.25,NA
10,mag400,2021-10-13T21:13:17Z,51710005100,check out what i found  httpstcotcqaqpzlyr via ebayuk,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
11,BuckBrazy,2021-10-13T21:13:14Z,51710005100,aint bout being the toughest who the smartnest and can survive,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
12,chrisbenjamin01,2021-10-13T21:13:06Z,51710005100,so the price of backwoods gon keep going up huh,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
13,KingSpyda_,2021-10-13T21:13:03Z,51710005100,just weed for me httpstcogvdtbn7wsc,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
14,NorfolkAdmirals,2021-10-13T21:12:57Z,51710005100,alextonge88 and paulwaul14 engage in a pingpong battle an indepth look at carterr2 that and more on todays episode of all accessb2yb norfolk waterside marriott  weare757 httpstcoy9fdovxvbq,36.830177,-76.2613,5mi,"engage, battle","1, -1",more,1,0,1
15,LeilaWorks,2021-10-13T21:12:43Z,51710005100,juiceboxca here to unashamedly show off the beautiful website work of istoriaagency of an italian restaurant in norfolk vahttpstco8jythh4dwd,36.830177,-76.2613,5mi,beautiful,3,work,1,3,1
16,tweet4dani,2021-10-13T21:12:41Z,51710005100,hockey is the greatest httpstcotumhdtdj0p,36.830177,-76.2613,5mi,greatest,3,greatest,1,3,1
17,DeborahReaves2,2021-10-13T21:12:41Z,51710005100,okay you guys do just that  httpstcodj5z838y1y,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
18,Mr8accw3T,2021-10-13T21:12:39Z,51710005100,raps amp new lies to tell httpstcorzvckonsab,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
19,grovelsjon36,2021-10-13T21:12:32Z,51710005100,walterofwales sleep well,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
20,DrLectersMask,2021-10-13T21:05:18Z,51710005100,itswheelsagain timelinetara meredith is ,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
21,cuntent,2021-10-13T21:12:16Z,51710005100,i think my uber forgot im in here cause he in here cursing niggas out driving fast as hell ,36.830177,-76.2613,5mi,"niggas, hell","-5, -4",NA,NA,-4.5,NA
22,kluekluxeky,2021-10-13T21:10:56Z,51710005100,bro i just spit water all on my lil brotha  httpstcogjhsirahii,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
23,eadyIofficial,2021-10-13T21:08:12Z,51710005100,no match httpstcozndmvuzqop httpstcooeofge9umv,36.830177,-76.2613,5mi,no,-1,NA,NA,-1,NA
24,peayway,2021-10-13T21:11:46Z,51710005100,heavy on the ill just meet yall there httpstcoingzi3oemi,36.830177,-76.2613,5mi,ill,-2,NA,NA,-2,NA
25,tmj_vap_health,2021-10-13T21:11:40Z,51710005100,this job is now open at fresenius medical care in chesapeake va follow us and turn on mobile alerts to hear about jobs like these as soon as theyre posted patient care technician  pct patientcare,36.830177,-76.2613,5mi,"care, like, care","2, 2, 2",NA,NA,2,NA
26,JohnCustis7,2021-10-13T21:11:17Z,51710005100,aaronamaama john custis catholic high school va beach va 63 280 dtot 35 gpahttpstcot86u8ff4qp,36.830177,-76.2613,5mi,NA,NA,high,1,NA,1
27,musicnerdzradio,2021-10-13T21:11:09Z,51710005100,michael jackson  liberian girl clean radio edit,36.830177,-76.2613,5mi,clean,2,NA,NA,2,NA
28,13NewsNow,2021-10-13T21:11:06Z,51710005100,record number of guns seized at airport checkpoints in 2021 httpstcosp6qqmfa6s,36.830177,-76.2613,5mi,NA,NA,record,1,NA,1
29,vajeepgirl79,2021-10-13T21:11:05Z,51710005100,yup this works extra dirty martini  3 olives httpstcoggtiwdxa47,36.830177,-76.2613,5mi,dirty,-2,NA,NA,-2,NA
30,JennaPierson1,2021-10-13T21:10:50Z,51710005100,13brianfarrell told me that there were several bonded pairs of kitties at the petsmart in virginia beach so i went to check them out yesterday i officially get to pick up my new babies later tonight ,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
31,lilkickxxs,2021-10-13T21:10:50Z,51710005100,i feel like da feds dmd me only got 24 followers talkin bout i wanna know more about navy fed,36.830177,-76.2613,5mi,like,2,more,1,2,1
32,Whobetterthanbo,2021-10-13T21:10:45Z,51710005100,i just wanna know how tf they keep finding my snapchat amp know that i need some in my life,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
33,MimiB1121,2021-10-13T21:10:39Z,51710005100,poppacoins progressivern this is why i left field retail my birthday usually falls on thanksgivingblack friday week and i just couldnt do the madness on my birthday over it,36.830177,-76.2613,5mi,madness,-3,falls,-1,-3,-1
34,GbhAthletics,2021-10-13T21:10:36Z,51710005100,congratulations to our field hockey seniors class of 2022 httpstcoy9ufjyvlip,36.830177,-76.2613,5mi,congratulations,2,NA,NA,2,NA
35,BollyMorgan,2021-10-13T21:10:34Z,51710005100,restoretrustnt but not the racist or homophonic onesor those that campaign to legalise marital rape but yaknowyou do you,36.830177,-76.2613,5mi,"racist, rape","-3, -4",NA,NA,-3.5,NA
36,bungalsrback,2021-10-13T21:10:32Z,51710005100,httpstcoihkzmyk68vthis is whats happening in our schools now crazy,36.830177,-76.2613,5mi,crazy,-2,NA,NA,-2,NA
37,WODUplaylist,2021-10-13T21:10:24Z,51710005100,foo fighters  making a fire   nowplayingwodustudios collegeradio listenlive,36.830177,-76.2613,5mi,fire,-2,NA,NA,-2,NA
38,CalyceJ,2021-10-13T21:10:15Z,51710005100,building educational and professional equity begins with being informed  norfolkstvball khunter2003 admissionsnsu nsuspartans httpstcomlpn9dsd2d,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
