"","screen_name","created_at","all_afinn_words","all_afinn_values","all_custom_words","all_custom_values","afinn_score","custom_score"
"1","__lowkeee",2021-08-18 17:24:19,"niggas, die, best","-5, -3, 3","best","1",-1.67,0.58
"3","_chilton96_",2021-08-18 18:51:24,"good","3","good","1",3,1
"4","_cmholmes",2021-08-18 18:30:05,"thank, glad, perfect, clean, no","2, 3, 3, 2, -1","work","1",1.8,0
"7","_diaawiaa",2021-08-18 18:02:26,"lmfao, hope, damn","4, 2, -4","work","1",0.67,0
"9","_Nellum",2021-08-18 17:14:27,"love","3","more","1",3,0
"10","_ReginaaaaB",2021-08-18 18:07:30,"mad, nerves, no, worth, damn","-3, -1, -1, 2, -4","more","1",-1.4,0
"13","_skvnny",2021-08-18 17:15:47,"want, ass, hilarious, crazy, cute, funky, ass","1, -4, 2, -2, 2, 2, -4","most, most","1, 1",-0.43,0
"17","_smokelikewoah",2021-08-18 18:40:36,"like, no","2, -1","down","-1",0.5,0
"19","1_Dolo757",2021-08-18 17:45:00,"leave, hurt, want, best, challenge","-1, -2, 1, 3, -1","best, challenge","1, -1",0,0
"22","13PaytDomschke",2021-08-18 17:39:02,"good","3","good","1",3,1
"23","1kevgriff",2021-08-18 17:36:22,"sadly, cancel","-2, -1","more","1",-1.5,0
"24","AndJohnson4all",2021-08-18 17:49:56,"growing","1","growing","1",1,1
"25","Angie1979va",2021-08-18 18:42:37,"better","2","better","1",2,1
"26","AShiauuna",2021-08-18 18:13:24,"hate, good, celebrate","-3, 3, 3","good","1",1,0.58
"27","Bassfield_EF5",2021-08-18 18:51:16,"risks, strong, immune, matter","-2, 2, 1, 1","risks, beat, strong","-1, 1, 1",0.5,0
"28","BeforeYouDo_LLC",2021-08-18 18:19:34,"effectively","2","more","1",2,0
"29","BenHuntley2000",2021-08-18 17:59:32,"better","2","better","1",2,1
"30","bennsintheroad",2021-08-18 17:54:14,"inspirational, like, no, missed","2, 2, -1, -2","record","1",0.25,0
"32","BigWatchLover",2021-08-18 18:44:54,"amazing, better, yes, important, like, no, want","4, 2, 1, 2, 2, -1, 1","better","1",1.57,0.38
"34","bmrjames",2021-08-18 17:53:15,"awful, disgrace","-3, -2","most","1",-2.5,0
"35","BonitaDomEnergy",2021-08-18 17:52:36,"congrats, excellent, thank","2, 3, 2","excellent, down","1, -1",2.33,0.58
"37","BoudiccaBrewing",2021-08-18 18:28:52,"no, problem, drop","-1, -2, -1","drop","-1",-1.33,-0.58
"38","Bowenarrow24",2021-08-18 17:16:10,"care, love, no, ass, warn, drop, fire, like","2, 3, -1, -4, -2, -1, -2, 2","drop","-1",-0.38,-0.35
"41","bowes",2021-08-18 18:16:30,"good","3","good, work","1, 1",3,1
"42","briannaac__",2021-08-18 17:28:42,"piss","-4","more","1",-4,0
"43","BrittonsEA",2021-08-18 18:00:36,"detached, like, free, agreed, detached, like, free","-1, 2, 1, 1, -1, 2, 1","more, more","1, 1",0.71,0
"45","BroadsNet",2021-08-18 17:42:00,"enjoy","2","enjoy","1",2,1
"46","BshpScottyScott",2021-08-18 18:40:09,"pray, god","1, 1","most","1",1,0
"47","ByronBreckenri1",2021-08-18 18:29:43,"important","2","more","1",2,0
"48","capturedbyscoti",2021-08-18 18:05:58,"good, luck, lmao","3, 3, 4","good","1",3.33,0.58
"50","catastrophicbee",2021-08-18 17:13:18,"hell, yeah","-4, 1","slow","-1",-1.5,0
"51","CharlieKeohane",2021-08-18 17:37:13,"wish, unified, help","1, 1, 2","more","1",1.33,0
"52","CHSTruckers_",2021-08-18 18:13:40,"happy, enjoy","3, 2","enjoy","1",2.5,0.71
"53","cityofPortsVA",2021-08-18 18:01:25,"awards","3","more","1",3,0
"54","CoastalVARE",2021-08-18 17:41:16,"pay","-1","most","1",-1,0
"55","CooperHurley",2021-08-18 18:00:15,"enjoy, share, shared","2, 1, 1","enjoy","1",1.33,0.58
"56","daveblev",2021-08-18 18:32:13,"damn, sucks, cuts, pain, hope, better","-4, -3, -1, -2, 2, 2","pain, better","-1, 1",-1,0
