1,BABYOILPIMP,2021-10-19T18:05:54Z,51710005100,i dont think people realize how important this moment is httpstcol4drfmhst9,36.830177,-76.2613,5mi,important,2,NA,NA,2,NA
2,JoeyGriego,2021-10-19T18:05:54Z,51710005100,i get so annoyed with people who only wanna talk about themselves,36.830177,-76.2613,5mi,annoyed,-2,NA,NA,-2,NA
3,courtneyalch,2021-10-19T18:05:52Z,51710005100,stephtbh i love snow lmao,36.830177,-76.2613,5mi,"love, lmao","3, 4",NA,NA,3.5,NA
4,JasonG083,2021-10-19T18:05:51Z,51710005100,deersnbeers 19knox83 washingtonnfl juliedonaldson whoisjwright that was the most brutal disrespectful shit ive ever seenstill makes me sick they went through with that,36.830177,-76.2613,5mi,"shit, sick","-4, -2",most,1,-3,1
5,ziggy2real,2021-10-19T18:05:49Z,51710005100,miss u grandma need u to touch my momma rs ,36.830177,-76.2613,5mi,miss,-2,NA,NA,-2,NA
6,f1_craig,2021-10-19T18:05:49Z,51710005100,markking mikelindup vinyl cassette cd no1 fan httpstcozu234magha,36.830177,-76.2613,5mi,fan,3,NA,NA,3,NA
7,FormerNiceGirl,2021-10-19T18:05:12Z,51710005100,ive never owned my own copy of mario party ever ive only been able to play at other ppls houses and nobody ever wants to play more than once which has been my experience with anything ive ever wanted to do ever so anyway im getting mp if its the last thing i do,36.830177,-76.2613,5mi,NA,NA,more,1,NA,1
8,Arianadeseree,2021-10-19T18:05:26Z,51710005100,i dont just say i love you for no reason if i tell you i really mean that shit ,36.830177,-76.2613,5mi,"love, no, shit","3, -1, -4",NA,NA,-0.67,NA
9,Sharkcity_Ave,2021-10-19T18:02:26Z,51710005100,mavvy773 bulls aint been shit since jordan it aint like yall so much better lol,36.830177,-76.2613,5mi,"shit, like, better, lol","-4, 2, 2, 3",better,1,0.75,1
10,claraducann,2021-10-19T18:05:20Z,51710005100,boblisterpoole cant see poland backing down its not in her vocabulary ,36.830177,-76.2613,5mi,backing,2,"cant, down","-1, -1",2,-1
11,law4cheap,2021-10-19T18:04:56Z,51710005100,who tf ordering this httpstcolz5qo3lu2e,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
12,icenianV7,2021-10-19T18:04:55Z,51710005100,marcherlord1 it would help if it was possible to drive and park near shops rather than councils being obsessed with selfindulgent green virtue signalling,36.830177,-76.2613,5mi,"help, obsessed","2, 2",NA,NA,2,NA
13,DavidAsbury44,2021-10-19T18:04:54Z,51710005100,jfrex01 odusports cusareport cusa is getting 18 million in exit fees probably more when utep leaves  plus regional rivalries generate more interest,36.830177,-76.2613,5mi,interest,1,"more, more","1, 1",1,1
14,ViMa711,2021-10-19T18:04:47Z,51710005100,seoltangsteph hmm  thats weird i didnt get mine on weverse this time but got it through another vendor,36.830177,-76.2613,5mi,weird,-2,NA,NA,-2,NA
15,fatherof583,2021-10-19T18:04:45Z,51710005100,jonfreier tmobile yes please,36.830177,-76.2613,5mi,"yes, please","1, 1",NA,NA,1,NA
16,lindsiroot,2021-10-19T18:04:43Z,51710005100,do you remember when you joined twitter i do mytwitteranniversary httpstcoipv3rpc8kx,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
17,ovonicolee_,2021-10-19T18:04:40Z,51710005100,i be having a drake songbar that applies to every situation amp i be wanting to burst out in song but then people will think im weird so i keep it to myself ,36.830177,-76.2613,5mi,weird,-2,NA,NA,-2,NA
18,HogFarmerJoe,2021-10-19T17:57:10Z,51710005100,owensview i think his situation is certainly tough because of dan,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
19,_WeatherStove,2021-10-19T18:04:03Z,51710005100,xotinabelle lol i was like huh,36.830177,-76.2613,5mi,"lol, like","3, 2",NA,NA,2.5,NA
20,Lcmwriter100,2021-10-19T18:03:26Z,51710005100,skcommonman doing my part,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
21,DrLectersMask,2021-10-19T18:03:28Z,51710005100,jimeyhimler stephendelvac12 ginanjoey factssince1776 kellyhaley tyrabanksy natoshanjustin shotgun,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
22,yaboynailedit,2021-10-19T18:03:25Z,51710005100,go dawgs baby lmao httpstcobboafdxkuu,36.830177,-76.2613,5mi,lmao,4,NA,NA,4,NA
23,saved_x_love,2021-10-19T18:03:24Z,51710005100,shweetass did you know that was lloyd beside him in the vest,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
24,Mitchel62120526,2021-10-19T18:03:19Z,51710005100,acgrayling from the virus of empire to the empire of virus,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
25,igotkickss,2021-10-19T18:03:19Z,51710005100,i want money dey want fame ,36.830177,-76.2613,5mi,"want, want, fame","1, 1, 1",NA,NA,1,NA
26,owtjg,2021-10-19T18:03:13Z,51710005100,bootstrapcook straight out of the tin,36.830177,-76.2613,5mi,straight,1,straight,1,1,1
27,smy31191,2021-10-19T18:03:07Z,51710005100,drinking a rockers ipa by biguglybrewing  anchorage barbershop  httpstcoq0mpmbqhb3,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
28,comptableavelo,2021-10-19T18:02:51Z,51710005100,jonmwelch although these days thet ent roit the norfolk allpurpose complaint would be more appropriate,36.830177,-76.2613,5mi,NA,NA,more,1,NA,1
29,StrangeCaseCo,2021-10-19T18:02:48Z,51710005100,ribponce anytime,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
30,laughtherapist,2021-10-19T18:02:27Z,51710005100,i look forward to my daughters calls from college when no money is involved rachelxhines ,36.830177,-76.2613,5mi,no,-1,NA,NA,-1,NA
31,ChazonaAtHome,2021-10-19T18:02:26Z,51710005100,choose fundamentalsactive communityutility strong team transparency marketing decentralotto delohttpstcozwtdmjvo6mniu mochi space trc fil lem comfy xend dfy sfuel cyc snbl hmng cake riskmoon klt,36.830177,-76.2613,5mi,strong,2,strong,1,2,1
32,EOSSurfaces,2021-10-19T18:02:24Z,51710005100,this iipw lets not forget about the team on the front lines environmental services makeyourintentioninfectionprevention eoscu apic httpstcoh8bjusip6u httpstconuk5zhsvdq,36.830177,-76.2613,5mi,forget,-1,NA,NA,-1,NA
33,markp8888,2021-10-19T18:02:23Z,51710005100,aidso67 alimacno johnnymerceruk reported and blocked,36.830177,-76.2613,5mi,blocked,-1,NA,NA,-1,NA
34,ChesHealthcare,2021-10-19T18:02:22Z,51710005100,congratulations to dr stephen lin general surgeon for being named a coastal virginia magazine top doc for four years to learn more visit httpstco9hkajnlbbo httpstcocu2c9kqj1v,36.830177,-76.2613,5mi,"congratulations, top","2, 2",more,1,2,1
35,OnlyaLee6,2021-10-19T18:02:09Z,51710005100,life amazing we love it,36.830177,-76.2613,5mi,"amazing, love","4, 3",NA,NA,3.5,NA
36,MAACHeatandCool,2021-10-19T18:02:07Z,51710005100,we love hearing positive reviews from you heres another good one by daisys floristairconditioning achvac heating cooling airsourceheatpumpnorfolkbusiness norwich norfolk kingslynnthetford httpstcoqt0moxqqzs,36.830177,-76.2613,5mi,"love, positive, good","3, 2, 3","positive, good","1, 1",2.67,1
